id_pelanggan,nama_lengkap,nomor_telepon,email,alamat_lengkap,kota,provinsi,kode_pos,jenis_pelanggan,segmen,tanggal_registrasi,total_transaksi,total_nilai_pembelian,status,sumber_awal
C151,CV Tono Sari,085773528334,tono.sari@gmail.com,Jl. Sentosa No.87,Tangerang,Banten,15310,Bisnis,UMKM,2024-08-30,8,1267400,Aktif,Marketplace
C152,PT Bambang Rahayu,083539296438,bambang.rahayu@gmail.com,Jl. Utama No.144,Tangerang,Banten,15310,Bisnis,UMKM,2025-06-20,8,2209520,Tidak Aktif,Instagram
C153,UD Ani Permana,087458232798,ani.permana@yahoo.com,Jl. Mawar No.31,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-07-25,2,464054,Aktif,Website
C154,Toko Siti Pratama,087700845083,.siti.pratama@gmail.com,Jl. Melati No.76,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-07-08,4,931096,Aktif,Website
C155,UD Budi Putra,081064486009,budi.putra@outlook.com,Jl. Anggrek No.98,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2024-05-15,9,6926913,Aktif,Website
C156,UD Endang Hidayat,089226745055,endang.hidayat@outlook.com,Jl. Mawar No.121,Bekasi,Jawa Barat,17510,Bisnis,UMKM,2024-07-10,5,2706460,Aktif,WhatsApp
C157,Toko Endang Santoso,085527968388,.endang.santoso@outlook.com,Jl. Anggrek No.74,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-05-16,6,1837404,Aktif,Instagram
C158,PT Eko Sari,082803085566,eko.sari@outlook.com,Jl. Melati No.83,Jakarta Timur,DKI Jakarta,13220,Bisnis,UMKM,2024-08-08,5,3478680,Tidak Aktif,TikTok
C159,Toko Rina Setiawan,084521392389,.rina.setiawan@yahoo.com,Jl. Utama No.108,Jakarta Selatan,DKI Jakarta,12160,Bisnis,UMKM,2025-10-17,5,3338760,Aktif,Instagram
C160,CV Hendra Rahayu,083781544885,hendra.rahayu@yahoo.com,Jl. Raya No.111,Depok,Jawa Barat,16400,Bisnis,UMKM,2024-11-03,3,837039,Aktif,Website
C161,CV Adi Wati,084710178033,adi.wati@gmail.com,Jl. Utama No.117,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-05-15,9,5035365,Aktif,WhatsApp
C162,UD Bambang Pratama,087646660240,bambang.pratama@outlook.com,Jl. Melati No.56,Depok,Jawa Barat,16400,Bisnis,UMKM,2025-04-23,10,6749930,Aktif,Instagram
C163,Rina Santoso,083509697654,rina.santoso@gmail.com,Jl. Raya No.134,Depok,Jawa Barat,16400,Reseller,Korporat,2024-11-09,9,2772981,Aktif,WhatsApp
C164,Indah Rahayu,084472530098,indah.rahayu@gmail.com,Jl. Melati No.145,Jakarta Selatan,DKI Jakarta,12160,Reseller,Korporat,2024-07-31,14,6189750,Aktif,Marketplace
C165,Faisal Wati,085776282173,faisal.wati@gmail.com,Jl. Sentosa No.141,Tangerang,Banten,15310,Reseller,Korporat,2024-10-01,10,1612200,Aktif,TikTok
C166,Endang Rahayu,083345377172,endang.rahayu@outlook.com,Jl. Utama No.135,Bogor,Jawa Barat,16110,Reseller,Korporat,2025-05-13,14,6515950,Aktif,Referensi
C167,Irwan Kusuma,084084700989,irwan.kusuma@gmail.com,Jl. Anggrek No.51,Depok,Jawa Barat,16400,Reseller,Korporat,2025-09-21,9,3007377,Aktif,Instagram
C168,Diah Putri,084781879914,diah.putri@yahoo.com,Jl. Raya No.45,Depok,Jawa Barat,16400,Reseller,Korporat,2024-10-07,12,4269804,Tidak Aktif,WhatsApp
C169,Wahyu Permana,085793486382,wahyu.permana@yahoo.com,Jl. Sentosa No.115,Jakarta Selatan,DKI Jakarta,12160,Reseller,Korporat,2024-08-31,7,4629926,Aktif,TikTok
C170,Adi Sari,081063739314,adi.sari@yahoo.com,Jl. Sentosa No.57,Depok,Jawa Barat,16400,Reseller,Korporat,2024-06-13,10,6653960,Aktif,Instagram
C171,Ratna Wijaya,083656262460,ratna.wijaya@outlook.com,Jl. Anggrek No.122,Depok,Jawa Barat,16400,Reseller,Korporat,2025-09-22,12,3007236,Aktif,Marketplace
C172,Indah Setiawan,087962446228,indah.setiawan@yahoo.com,Jl. Utama No.6,Tangerang,Banten,15310,Reseller,Korporat,2024-06-13,14,4664436,Aktif,Marketplace
C173,Rizki Firmansyah,085202676206,rizki.firmansyah@yahoo.com,Jl. Raya No.76,Jakarta Selatan,DKI Jakarta,12160,Reseller,Korporat,2024-12-03,15,2541225,Aktif,Marketplace
C174,Mega Wijaya,082051324464,mega.wijaya@outlook.com,Jl. Raya No.4,Tangerang,Banten,15310,Reseller,Korporat,2025-09-13,11,4857644,Aktif,TikTok
C175,Tuti Putri,084495455786,tuti.putri@yahoo.com,Jl. Utama No.150,Jakarta Timur,DKI Jakarta,13220,Reseller,Korporat,2025-10-09,5,1698905,Tidak Aktif,Instagram
C176,Indah Hidayat,087243010190,indah.hidayat@outlook.com,Jl. Anggrek No.82,Depok,Jawa Barat,16400,Reseller,Korporat,2024-08-04,10,4656210,Aktif,Instagram
C177,Tono Sari,082926343151,tono.sari@gmail.com,Jl. Utama No.63,Tangerang,Banten,15310,Reseller,Korporat,2025-09-18,6,3304824,Aktif,Referensi
C178,Hadi Rahayu,089342870989,hadi.rahayu@yahoo.com,Jl. Anggrek No.27,Depok,Jawa Barat,16400,Reseller,Korporat,2025-09-25,15,5407920,Aktif,Marketplace
C179,Eko Wati,084128817209,eko.wati@yahoo.com,Jl. Raya No.141,Tangerang,Banten,15310,Reseller,Korporat,2024-12-17,7,5394501,Aktif,Referensi
C180,Faisal Pratama,086333240204,faisal.pratama@gmail.com,Jl. Anggrek No.144,Depok,Jawa Barat,16400,Reseller,Korporat,2024-08-27,13,2180776,Aktif,Marketplace
